UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,OPEN,HIGH,LOW,CLOSE,FIRST_MESSAGE_TIMESTAMP,LAST_MESSAGE_TIMESTAMP,FIRST_MESSAGE_VALUE,HIGH_MESSAGE_VALUE,HIGH_MESSAGE_TIMESTAMP,LOW_MESSAGE_VALUE,LOW_MESSAGE_TIMESTAMP,LAST_MESSAGE_VALUE,TOTAL_INDEX_UPDATES,VOLUME,QUOTE_VOLUME,VOLUME_TOP_TIER,QUOTE_VOLUME_TOP_TIER,VOLUME_DIRECT,QUOTE_VOLUME_DIRECT,VOLUME_TOP_TIER_DIRECT,QUOTE_VOLUME_TOP_TIER_DIRECT
MINUTE,1749693300,267,cadli,SHIB-USD,1.29223930801348e-05,1.29404658323893e-05,1.29190390986251e-05,1.29388845075263e-05,1749693300,1749693599,1.29223944147471e-05,1.29404658323893e-05,1749693575,1.29190390986251e-05,1749693348,1.29388845075263e-05,422,21946022847.6807,284218.073479651,8218022022.48363,106478.195088319,403589295.28721,5221.2066974975,358132081.28721,4631.1353697775
MINUTE,1749693300,267,cadli,WBTC-USD,108451.352117748,108484.696803847,108434.927835181,108484.696803847,1749693307,1749693599,108451.274668526,108484.696803847,1749693599,108434.927835181,1749693526,108484.696803847,102,1.00212804,108697.747815977,0.47609092,51638.5814464723,0.00097244,105.434485966,0.00097244,105.434485966
MINUTE,1749693300,267,cadli,LINK-USD,14.7745956345698,14.7986870900093,14.7745956345698,14.793971995504,1749693300,1749693598,14.7753918467976,14.7986870900093,1749693419,14.7753918467976,1749693300,14.793971995504,491,44376.6910941469,656306.94632375,15357.8500832804,227163.808805159,2726.38139337,40327.7311112681,2602.15139337,38489.7743112681
MINUTE,1749693300,267,cadli,TRX-USD,0.277456981813095,0.277537880957919,0.277437075741196,0.27747320640351,1749693300,1749693599,0.277480185118415,0.277537880957919,1749693467,0.277437075741196,1749693411,0.27747320640351,618,4301239.51982462,1193539.61450635,919439.3204131,255094.019265884,94779.56651,26318.7880047357,1035.86651,287.3537539358
MINUTE,1749693300,267,cadli,DOT-USD,4.18247750341278,4.18792530638533,4.18245799457708,4.18683775153736,1749693300,1749693599,4.18246876031901,4.18792530638533,1749693419,4.18245799457708,1749693301,4.18683775153736,437,100329.91362473,419925.824946851,17307.4226801901,72443.3746580802,815.16827283,3411.6485286627,658.99827283,2758.5759726627
MINUTE,1749693300,267,cadli,MATIC-USD,0.23062025097097,0.230971335896234,0.230476374977343,0.230971335896234,1749693351,1749693591,0.23048195399615,0.230971335896234,1749693591,0.230476374977343,1749693358,0.230971335896234,14,2807.58988698,648.555335778835,1389.2,320.726003547349,2394.6,553.078137,1167.6,269.56833
MINUTE,1749693300,267,cadli,BCH-USD,426.919660400115,427.207071140645,426.803617334363,427.018481399129,1749693301,1749693599,426.937520542828,427.207071140645,1749693406,426.803617334363,1749693494,427.018481399129,427,549.967884101919,234868.389864395,86.25507239,36850.4886864591,28.39281261,12097.7820382588,21.18481261,9048.74226695881
MINUTE,1749693300,267,cadli,NEAR-USD,2.54774221194464,2.55434871590488,2.54774221194464,2.55429738048518,1749693301,1749693599,2.54801875806099,2.55434871590488,1749693421,2.54801875806099,1749693301,2.55429738048518,384,143659.079032098,366766.98363224,52155.5775474679,133109.317433864,2496.48832763,6374.93510478413,2413.75832763,6162.21643878413
MINUTE,1749693300,267,cadli,LTC-USD,91.5068173638464,91.6252606754311,91.506807134647,91.6056722479655,1749693300,1749693598,91.506807134647,91.6252606754311,1749693504,91.506807134647,1749693300,91.6056722479655,504,6310.57991678682,577561.025967429,1743.76819476,159707.948866609,509.58445403,46663.8469198616,447.18805403,40948.7890532816
MINUTE,1749693300,267,cadli,UNI-USD,8.15543955596393,8.20210704694383,8.15543955596393,8.19455593530228,1749693301,1749693599,8.15547484439309,8.20210704694383,1749693506,8.15547448727335,1749693301,8.19455593530228,504,238176.274610257,1950514.35049013,158108.262510207,1295169.76686677,5780.59041313,47266.4215715369,5780.59041313,47266.4215715369
MINUTE,1749693300,267,cadli,DAI-USD,0.999677586818308,0.999737377787553,0.999628011364299,0.999727910102182,1749693300,1749693599,0.999677406244504,0.999737377787553,1749693557,0.999628011364299,1749693415,0.999727910102182,148,243206.949292,243120.135708725,126907.78436,126863.057015593,0.66,0.659934,0.66,0.659934
MINUTE,1749693300,267,cadli,LEO-USD,8.9007919685008,8.90727484124642,8.832626574342,8.8382284878749,1749693300,1749693598,8.90727484124642,8.90727484124642,1749693300,8.832626574342,1749693505,8.8382284878749,108,2884.95068458,25541.4937242217,1587.32538458,14052.0729997839,1098.85537487,9723.04260983902,1098.85537487,9723.04260983902
MINUTE,1749693300,267,cadli,ICP-USD,6.05560510503251,6.05560510503251,6.04605191450949,6.04828805156293,1749693301,1749693598,6.05497381566672,6.05541096645462,1749693430,6.04605191450949,1749693541,6.04828805156293,321,30724.42207538,185940.13070476,14101.55033689,85233.0008679532,5821.7493,35177.9898379949,5821.7493,35177.9898379949
MINUTE,1749693300,267,cadli,ETC-USD,18.0362539073916,18.0475803838183,18.0358467267158,18.0451881676389,1749693300,1749693597,18.0374276521556,18.0475803838183,1749693421,18.0358467267158,1749693333,18.0451881676389,246,8432.91894636217,151738.527555701,983.35583871,17730.2601726356,36.19206436,658.6680548872,2.79206436,50.3076097672
MINUTE,1749693300,267,cadli,FIL-USD,2.68002920226421,2.68562598529219,2.68002920226421,2.68506574819629,1749693300,1749693598,2.68069185923649,2.68562598529219,1749693578,2.68066122361062,1749693318,2.68506574819629,307,145082.03169383,389398.401054542,27197.43939302,73022.650954547,1044.17187312,2803.50003770784,1044.17187312,2803.50003770784
MINUTE,1749693300,267,cadli,RNDR-USD,3.82146241760998,3.82511064516432,3.81616346627224,3.82293236022821,1749693431,1749693588,3.82232040936653,3.82511064516432,1749693437,3.81616346627224,1749693451,3.82293236022821,11,3777.98,14444.5550945263,3777.98,14444.5550945263,3743.27,14311.626776,3743.27,14311.626776
MINUTE,1749693300,267,cadli,OKB-USD,53.8687440608369,53.9195417543371,53.8686408777275,53.9117029748581,1749693304,1749693589,53.8687015634829,53.9195417543371,1749693571,53.8686408777275,1749693314,53.9117029748581,96,80.847224,4358.47741198068,13.077054,704.576513221563,0,0,0,0
MINUTE,1749693300,267,cadli,STX-USD,0.68210243940329,0.683403742328332,0.68210243940329,0.683403061051374,1749693301,1749693596,0.682115289527926,0.683403742328332,1749693591,0.682115289527926,1749693301,0.683403061051374,118,37211.15672495,25417.3756023554,24349.63245741,16639.6853929869,2533.34,1728.45340299999,2533.34,1728.45340299999
MINUTE,1749693300,267,cadli,APT-USD,5.04361698571832,5.05659236020026,5.04361698571832,5.05659236020026,1749693300,1749693598,5.04557845124309,5.05659236020026,1749693598,5.04394557999355,1749693301,5.05659236020026,410,45757.67249041,231146.352387489,29288.93892366,147948.755037242,792.626999999999,4003.173882635,407.687,2058.053353
MINUTE,1749693300,267,cadli,CRO-USD,0.0982199262503205,0.0982927432252526,0.0981445930494667,0.0982514374880467,1749693302,1749693597,0.0982181084462532,0.0982927432252526,1749693427,0.0981445930494667,1749693548,0.0982514374880467,123,613877.355548,60292.4048705199,558944.244548,54908.3013481162,90515.5,8892.96513,90515.5,8892.96513
